"","GSM5609212","GSM5609213","GSM5609214","GSM5609215","GSM5609216","GSM5609217","GSM5609218","GSM5609219","GSM5609220","GSM5609221","GSM5609222","GSM5609223","GSM5609224","GSM5609225","GSM5609226","GSM5609227","GSM5609228","GSM5609229","GSM5609230","GSM5609231","GSM5609232","GSM5609233","GSM5609234","GSM5609235","GSM5609236","GSM5609237","GSM5609238","GSM5609239","GSM5609240","GSM5609241","GSM5609242","GSM5609243","GSM5609244","GSM5609245","GSM5609246","GSM5609247","GSM5609248","GSM5609249","GSM5609250","GSM5609333","GSM5609334","GSM5609335","GSM5609336","GSM5609337"
"23131",936,719,1650,1101,1593,1932,269,265,326,292,1410,286,2223,1150,1684,900,578,683,687,1437,1060,885,694,735,703,676,262,1090,640,1172,887,944,2015,513,1463,236,1218,943,1242,1994,1304,801,1361,917
"284021",421,195,804,403,925,374,101,79,88,47,207,46,1062,200,228,269,189,138,152,342,172,201,186,158,125,210,32,275,115,265,176,162,417,99,293,202,532,221,185,333,458,183,753,392
"105371873",1,1,7,3,10,3,0,0,3,0,1,0,8,6,2,0,6,3,1,10,2,6,3,0,3,4,0,2,3,8,3,2,12,1,4,3,16,2,5,6,2,2,7,6
"57690",1080,554,1960,1226,1943,2285,231,222,207,212,1040,261,1691,859,1535,702,493,487,615,1090,857,784,594,605,555,415,235,914,586,804,672,707,1480,425,1015,162,1050,713,1052,1789,1023,638,1081,805
"9021",954,281,733,277,400,848,104,296,134,91,299,99,1107,173,251,360,117,399,244,483,332,144,275,92,187,125,119,228,242,247,295,138,488,156,421,132,1327,262,234,492,787,148,724,369
"8632",390,144,529,156,343,419,35,53,41,32,73,26,419,64,101,106,49,127,48,133,168,74,71,59,64,78,39,92,99,104,94,101,196,56,274,105,528,164,125,238,391,104,326,207
"4097",444,268,555,369,600,624,79,48,81,76,100,39,734,158,181,168,102,155,90,217,199,124,93,162,147,214,45,207,133,217,152,165,303,94,289,162,499,262,305,282,442,160,287,311
"10627",4431,2238,6373,4060,6537,7057,1805,1071,796,776,3212,1238,6728,3680,3484,2255,2368,2827,1862,5009,2946,2410,1767,2509,2078,1651,856,2567,1856,3261,3080,3279,5748,1532,4352,1732,5921,3341,4344,4710,3975,2183,5398,4439
"104968399",1100,604,1661,1023,1733,1789,320,188,141,142,547,205,1111,603,549,394,381,452,298,861,491,377,293,419,367,269,145,440,286,490,564,497,878,252,1248,600,1636,931,1323,1521,1230,636,1571,1218
"103910",3047,1138,4432,2536,4600,3800,1094,761,545,538,1235,524,2532,1490,1184,1029,865,1186,690,1969,829,914,562,988,798,593,365,916,690,1235,1300,1477,2303,692,2392,889,2711,1446,2082,3298,2614,1535,4418,2979
"10194",353,233,656,420,575,694,119,132,126,107,317,81,600,322,582,245,155,186,246,463,388,343,233,270,258,126,106,320,178,366,284,299,592,190,396,51,364,269,435,772,430,255,395,295
"10501",42,10,32,7,15,13,5,1,2,0,0,0,38,2,0,8,0,3,2,4,4,6,0,2,3,21,0,4,3,0,2,2,6,3,4,9,37,10,2,8,22,0,12,13
"56729",31,20,77,32,34,29,10,27,1,11,1,10,24,7,1,6,5,8,2,4,2,9,3,5,1,8,0,4,4,3,5,7,9,22,12,38,36,21,90,18,23,7,8,62
"199675",285,117,442,212,280,274,47,24,28,25,60,43,589,97,79,91,60,196,64,135,132,46,78,128,67,108,64,192,64,133,143,146,99,51,112,138,330,120,107,187,284,85,212,250
"59286",612,213,828,628,882,842,202,107,55,99,195,46,463,200,128,142,202,224,81,299,142,175,66,139,160,116,51,130,99,158,179,302,402,94,318,139,317,215,289,493,432,217,684,771
"255809",1224,616,1204,691,1073,1261,200,147,149,216,196,116,1423,264,217,369,287,389,207,402,465,229,211,268,291,280,139,426,208,390,285,324,607,177,660,484,1368,833,485,688,1032,406,1053,881
"10437",8875,3771,6195,4505,6611,9050,1700,928,845,1017,1419,631,11265,2021,1203,2427,1490,3203,1291,2610,3444,1878,1550,1695,2046,2249,941,2011,1168,2137,2375,1725,4426,1097,4577,1220,9729,5906,4282,4407,5125,2271,4818,4901
"2865",34,8,15,3,9,27,2,8,4,4,0,1,21,3,6,4,2,4,3,6,8,2,1,1,3,3,1,2,5,2,7,1,10,3,6,4,31,2,2,9,15,9,13,11
"9535",2925,783,4745,2160,4394,3661,612,420,217,386,603,239,2109,688,572,601,624,932,335,743,718,520,419,423,450,451,218,660,472,673,577,927,1523,471,1630,973,2267,1036,1233,2297,2087,1035,3474,3363
"634",398,296,1004,304,378,909,73,188,135,164,243,77,1388,347,354,446,207,520,304,239,813,195,251,252,170,339,177,437,311,633,371,182,535,189,319,150,939,184,316,620,726,390,1063,382
"57126",20,43,211,84,57,36,10,15,5,8,36,10,147,25,23,85,66,32,19,181,89,20,45,91,14,56,50,97,19,48,91,64,46,59,196,80,696,64,94,30,84,15,173,53
"5819",95,27,893,31,55,22,6,33,7,5,36,6,76,16,6,31,5,13,31,13,24,8,16,153,17,16,4,26,22,31,10,26,19,27,33,6,66,31,85,39,49,22,32,30
"126014",1187,540,1037,640,995,1421,94,90,88,92,311,82,1168,216,204,254,181,432,143,291,349,197,237,187,291,324,129,379,193,371,267,219,511,170,646,383,1461,691,565,610,800,357,1031,951
"79168",2988,1456,3100,1163,3150,3308,251,514,184,355,510,108,5076,338,701,1229,316,1237,520,1039,1078,579,630,437,670,749,363,681,723,1313,729,574,761,646,1361,1552,5068,1331,1445,981,2773,877,2327,751
"353514",3380,1271,4258,1466,2244,2431,342,344,252,225,548,176,2766,588,326,737,401,826,351,541,566,342,431,344,379,393,277,611,455,840,414,612,951,378,1252,682,2195,1013,796,1384,1896,516,2961,1091
"11006",487,259,406,253,390,414,73,54,66,45,120,37,843,184,177,252,62,154,87,177,144,138,106,166,165,118,50,126,70,148,122,83,263,52,187,51,365,312,254,189,256,118,199,228
"2204",584,331,581,381,459,710,129,280,120,180,453,152,2294,410,347,618,357,680,291,506,881,119,398,359,254,442,353,626,356,626,595,424,784,253,538,449,1023,349,254,306,999,227,1006,484
"105372578",49,6,83,30,43,7,6,8,24,10,13,16,74,17,14,65,36,64,23,55,59,16,39,53,10,33,23,21,34,74,27,54,17,19,20,19,68,25,6,31,55,18,62,68
"8530",1558,1376,2842,3014,2741,3988,302,347,215,229,646,140,871,338,246,428,435,648,304,1219,1464,705,270,725,516,393,287,548,337,839,469,991,1374,395,1552,432,1997,1687,2166,1592,1515,597,1451,1281
"55741",421,281,504,305,473,698,88,68,57,70,147,50,512,134,154,141,120,156,97,166,211,152,101,96,110,120,50,129,139,146,128,160,286,81,313,124,525,275,302,336,370,165,383,292
"100527943",821,443,950,556,972,1142,176,163,151,188,229,88,1174,245,212,326,211,395,158,340,337,249,193,213,214,243,95,259,242,306,257,372,610,186,650,215,938,369,356,612,714,287,934,750
"55969",870,464,1014,632,1041,1247,186,174,166,200,225,89,1231,247,206,324,216,413,160,345,344,269,198,214,226,253,100,262,251,316,260,381,639,194,680,228,998,388,368,642,751,307,968,839
"671",120,95,829,154,95,94,41,17,10,74,23,10,252,94,61,69,18,44,26,68,23,28,38,180,53,187,23,23,53,111,27,25,139,13,208,719,80,31,130,49,91,56,81,184
"6590",178,55,368,44,111,155,27,35,39,48,27,13,220,59,22,33,40,62,60,39,35,23,43,40,17,57,8,59,52,44,26,59,122,28,82,94,174,34,52,46,249,76,249,183
"4318",2452,610,2065,1273,1373,1765,76,76,103,234,126,40,2611,379,145,708,308,640,205,193,984,274,475,333,235,483,356,411,277,630,321,423,381,295,849,3088,1866,875,403,1207,1831,242,1937,1646
"109729184",468,120,363,246,254,343,11,8,11,39,22,3,347,52,26,80,49,88,26,20,138,40,53,51,35,64,60,55,40,77,44,63,57,44,145,531,317,171,71,203,281,35,305,293
"64092",388,149,682,436,631,341,302,244,150,131,462,187,956,418,373,301,170,296,259,490,254,260,179,286,203,239,102,268,221,450,326,400,591,127,289,262,352,191,207,596,591,311,652,341
"3753",50,25,64,39,49,45,6,5,11,13,46,2,121,21,10,35,13,31,7,22,30,17,20,18,9,20,5,32,18,26,20,20,26,8,49,80,56,37,22,35,81,21,72,35
"7267",1442,782,2192,1299,2689,2921,566,602,580,453,2142,509,2911,1935,3326,1161,809,1002,1074,2206,1161,1365,1201,1256,985,645,347,1685,1165,1847,1467,1478,2577,725,1876,150,1589,1077,1661,3412,2037,1269,2034,1563
"7226",240,141,254,206,330,282,29,27,30,34,17,20,344,43,55,66,41,74,22,99,115,49,47,51,52,97,33,60,42,72,41,53,86,35,124,54,204,241,127,171,283,99,157,214
"83733",60,27,96,64,94,97,16,21,8,13,20,9,64,13,35,22,24,22,15,37,20,20,9,19,12,21,4,15,21,26,19,31,53,12,49,25,78,39,41,57,53,26,70,52
"529",894,419,1436,817,1354,1237,286,196,166,175,356,147,1035,442,326,324,310,355,192,445,298,282,195,242,259,208,93,268,231,349,456,414,752,252,1006,409,1232,722,955,944,913,523,1368,1006
